Income,Recency,MntWines,NumWebPurchases,MntMeatProducts,Kidhome,Teenhome,Age
16813.0,49,4,2,11,0,0,75
64191.0,30,420,5,186,0,1,62
71969.0,59,1000,3,76,0,1,54
29187.0,43,26,1,6,1,0,57
4428.0,0,16,25,12,0,1,56
89891.0,17,412,11,132,0,0,34
82014.0,48,980,3,265,0,0,64
48794.0,97,25,1,11,1,1,72
77583.0,93,372,4,384,0,0,47
33564.0,51,61,1,3,0,1,59
38285.0,96,2,0,5,2,1,66
78825.0,35,483,5,114,0,0,61
36065.0,54,18,3,34,1,1,57
15253.0,13,1,1,3,1,0,33
57183.0,51,464,9,64,1,1,59
48789.0,94,351,6,156,0,0,33
37774.0,28,173,7,107,2,0,48
81205.0,43,724,5,929,0,0,55
81320.0,61,183,4,493,0,0,67
78901.0,99,321,9,309,0,1,52
94642.0,35,879,5,797,0,0,74
52614.0,63,789,2,142,0,1,50
22701.0,2,2,1,9,1,0,48
28427.0,67,18,2,19,1,0,42
33279.0,29,10,0,3,0,0,59
57867.0,48,344,7,178,1,0,47
48767.0,79,28,2,21,1,2,75
41769.0,31,302,8,131,0,1,70
17003.0,37,2,2,12,1,0,50
65526.0,22,397,4,69,0,1,61
29543.0,47,17,3,18,2,0,57
67680.0,8,546,7,48,0,1,74
55282.0,9,125,3,73,1,0,55
,25,25,3,43,1,0,52
8940.0,25,1,3,3,1,0,39
65352.0,43,284,4,84,0,1,51
57236.0,22,105,2,9,1,1,60
51948.0,51,82,5,54,0,1,50
60839.0,72,600,2,128,1,1,46
86836.0,7,179,6,273,0,0,50
40233.0,84,80,2,46,0,1,50
22682.0,51,10,2,29,1,0,52
28427.0,67,18,2,19,1,0,42
54591.0,63,376,6,94,0,1,76
20587.0,39,2,1,6,1,0,55
45203.0,4,35,3,67,2,0,43
47682.0,80,162,4,83,0,1,50
92556.0,32,493,3,352,0,0,65
63943.0,50,423,6,368,0,1,69
18890.0,5,6,0,1,0,0,41
81051.0,43,1142,5,249,0,0,60
46998.0,55,172,5,86,0,1,69
71853.0,29,358,2,413,0,0,43
38513.0,20,172,6,115,1,0,43
49912.0,5,520,10,223,0,1,76
44911.0,11,159,4,22,0,1,66
72354.0,67,315,2,473,0,0,32
56181.0,6,121,4,69,0,1,63
65324.0,0,384,6,102,0,1,71
25293.0,51,15,1,11,1,0,56
75433.0,28,800,2,297,1,0,36
47570.0,3,67,2,20,1,1,76
69084.0,43,1181,7,199,1,0,55
39684.0,41,19,2,35,1,0,41
86718.0,20,344,5,482,0,0,71
79689.0,65,311,4,640,0,0,49
64100.0,93,509,8,27,0,1,61
54058.0,56,198,4,252,0,1,49
55954.0,63,447,8,28,0,1,57
68117.0,80,618,11,215,0,1,78
60432.0,61,365,7,15,0,1,52
51141.0,96,144,3,7,0,0,85
23228.0,91,53,3,49,1,0,41
37334.0,44,26,3,16,1,1,67
63342.0,48,918,8,118,0,1,64
55357.0,66,374,6,116,2,0,40
31859.0,77,3,1,3,1,0,49
71853.0,29,358,2,413,0,0,43
85696.0,88,714,4,395,0,0,63
81843.0,13,779,5,537,0,0,65
37040.0,41,86,4,73,0,0,43
15072.0,96,8,3,15,2,0,45
19986.0,74,3,0,5,1,0,40
57906.0,29,243,4,119,0,1,52
81741.0,75,249,6,940,0,0,45
38620.0,56,112,2,44,0,0,62
94384.0,62,1111,5,790,0,0,72
30538.0,27,284,9,52,1,0,54
54450.0,0,454,9,171,1,1,69
69267.0,31,778,3,499,0,0,72
35701.0,36,21,1,9,0,0,66
13672.0,86,6,1,9,1,1,65
85606.0,89,717,6,864,0,1,49
70337.0,75,187,2,149,0,0,46
38829.0,86,76,3,7,0,1,66
43462.0,50,90,4,97,1,1,73
61314.0,1,378,5,189,0,1,57
60474.0,25,265,10,303,0,1,46
62710.0,53,441,4,83,0,1,53
50300.0,52,143,2,60,0,1,73
26326.0,12,1,0,5,0,0,49
40548.0,31,110,2,5,0,1,55
37716.0,4,97,4,41,0,1,72
46757.0,71,777,4,163,0,1,62
24570.0,97,28,4,62,1,0,41
52845.0,7,384,8,292,1,0,52
46423.0,6,68,2,16,1,1,53
67716.0,8,530,7,217,0,1,65
96547.0,4,448,7,125,0,0,45
80950.0,44,525,6,112,0,0,64
64497.0,17,1170,11,320,0,1,71
46098.0,86,57,3,27,1,1,50
27238.0,39,37,3,17,1,1,63
58025.0,81,270,3,88,0,1,46
68092.0,7,852,2,207,0,0,47
71466.0,86,412,4,546,0,0,51
43815.0,53,14,2,29,1,0,43
70440.0,49,690,5,499,0,0,47
28587.0,42,22,2,17,1,0,47
73807.0,88,366,5,156,0,1,47
43057.0,30,213,4,44,0,1,50
7500.0,98,5,2,17,1,0,40
14906.0,86,7,2,14,0,0,39
37235.0,68,20,1,9,1,0,41
72460.0,56,377,3,540,0,0,56
43783.0,22,327,7,125,1,0,47
38443.0,58,32,1,5,1,1,57
53858.0,50,407,4,221,0,1,49
22507.0,67,68,10,226,0,0,71
44155.0,24,22,1,9,1,1,68
85072.0,94,494,3,391,0,0,48
82170.0,13,1023,5,651,0,0,47
7500.0,94,0,0,3,0,0,38
9255.0,91,9,1,7,1,0,36
38576.0,2,34,1,7,0,1,52
81246.0,87,398,4,537,0,0,61
41713.0,57,77,3,44,1,1,61
43586.0,26,99,3,11,0,1,45
71322.0,57,753,8,226,0,1,60
39767.0,18,113,7,204,0,0,74
33562.0,33,21,2,12,1,2,62
79941.0,72,123,2,266,0,0,49
41638.0,68,315,5,31,0,1,61
62466.0,13,129,6,259,0,1,55
29672.0,6,9,0,3,1,1,60
38998.0,92,34,2,14,1,1,71
53863.0,4,399,7,30,0,1,70
54984.0,51,173,6,131,0,1,66
26877.0,74,101,3,76,0,0,56
64449.0,70,218,5,282,1,0,36
62905.0,68,166,7,96,0,1,61
67272.0,12,357,6,271,0,1,59
36930.0,50,223,5,31,0,1,71
51012.0,86,102,4,63,0,0,79
58330.0,87,445,6,213,0,1,50
28567.0,57,11,2,22,1,0,43
10979.0,34,8,3,10,0,0,36
22574.0,28,25,2,8,2,1,58
,49,5,1,9,1,1,61
56320.0,11,201,5,172,0,1,58
43140.0,68,134,4,76,0,1,68
80982.0,48,505,11,401,1,1,66
70932.0,57,200,6,100,0,1,53
75032.0,74,952,5,180,0,1,66
27190.0,13,1,1,7,1,0,52
54880.0,57,308,6,137,1,0,47
79146.0,33,245,8,223,1,1,58
34109.0,39,9,0,5,0,1,54
61923.0,94,92,2,18,0,2,64
69759.0,38,452,4,514,0,0,59
,45,7,1,8,1,1,68
40451.0,54,35,1,4,0,2,68
42403.0,18,22,1,11,1,0,54
78028.0,38,158,6,288,0,1,69
59304.0,81,418,7,428,0,1,61
69674.0,46,554,10,215,0,2,57
19485.0,80,6,1,4,2,0,39
10979.0,34,8,3,10,0,0,36
80872.0,60,483,4,567,0,0,74
29298.0,60,6,1,2,1,1,74
13084.0,29,2,1,7,0,0,73
82032.0,54,332,4,377,0,0,77
64474.0,59,381,8,172,0,1,53
26290.0,49,15,2,16,1,1,53
41145.0,20,9,0,3,1,1,75
35246.0,53,36,3,12,1,1,67
98777.0,23,1000,4,711,0,0,65
76081.0,85,292,4,415,0,0,63
50183.0,47,97,3,84,1,1,45
28839.0,86,24,2,7,1,1,69
86610.0,66,446,5,768,0,0,74
70829.0,87,141,4,106,1,1,45
62807.0,83,526,5,135,0,1,65
80427.0,56,1149,11,449,0,1,50
82224.0,83,307,6,360,0,0,61
18227.0,21,1,0,7,1,0,38
34600.0,8,199,5,60,1,1,54
30992.0,83,17,1,14,1,0,49
31535.0,95,15,1,13,1,0,45
70777.0,80,554,5,113,0,1,57
53103.0,70,729,10,133,0,1,71
17117.0,96,12,3,38,1,0,47
48948.0,53,437,7,206,0,0,82
50520.0,25,112,3,6,0,1,67
36145.0,13,56,4,76,1,0,40
34633.0,31,8,1,5,2,1,69
33996.0,46,40,1,15,0,0,36
51148.0,38,235,5,45,1,1,52
58646.0,3,62,2,44,0,1,63
72309.0,64,960,5,883,0,0,49
83917.0,12,514,6,732,0,0,52
47025.0,6,16,1,3,1,1,60
46910.0,36,48,2,14,1,1,61
